Item,Category,Calories,FatCalories,Fat,SatFat,TransFat,Cholesterol,Sodium,TotalCarb,DietaryFiber,Sugars,Protein,WeightWatchers
The Original Slider®,Sliders,140.0,60.0,7.0,2.5,0.0,10.0,380.0,16.0,1.0,2.0,6.0,138.5
The Original Slider® (NY/ NJ),Sliders,150.0,60.0,7.0,2.5,0.0,10.0,420.0,17.0,1.0,3.0,6.0,149.5
Double Original Slider®,Sliders,250.0,110.0,13.0,4.5,1.0,20.0,690.0,24.0,2.0,3.0,11.0,246.5
Double Original Slider® (NY/ NJ),Sliders,260.0,110.0,13.0,4.5,1.0,20.0,770.0,27.0,2.0,5.0,11.0,258.5
Cheese,Sliders,170.0,80.0,9.0,4.0,0.5,15.0,510.0,16.0,1.0,2.0,8.0,168.0
Cheese (NY/ NJ),Sliders,170.0,80.0,9.0,4.0,0.5,15.0,550.0,17.0,1.0,3.0,8.0,169.0
Double Cheese,Sliders,300.0,150.0,17.0,8.0,1.0,30.0,960.0,24.0,2.0,4.0,14.0,298.0
Double Cheese (NY/ NJ),Sliders,310.0,150.0,17.0,8.0,1.0,30.0,1050.0,27.0,2.0,6.0,14.0,310.0
Smoked Cheddar Cheese,Sliders,180.0,90.0,10.0,4.5,0.0,20.0,500.0,16.0,1.0,2.0,8.0,178.5
Smoked Cheddar Cheese (NY/ NJ),Sliders,180.0,90.0,10.0,4.5,0.0,20.0,540.0,18.0,1.0,3.0,8.0,179.5
Double Smoked Cheddar Cheese,Sliders,320.0,170.0,19.0,9.0,1.0,40.0,1030.0,26.0,2.0,3.0,15.0,317.0
Double Smoked Cheddar Cheese,Sliders,330.0,170.0,19.0,9.0,1.0,40.0,1110.0,29.0,2.0,5.0,15.0,329.0
Jalapeño Cheese,Sliders,170.0,80.0,9.0,4.0,0.5,15.0,490.0,16.0,1.0,2.0,8.0,168.0
Jalapeño Cheese (NY/ NJ),Sliders,180.0,80.0,9.0,4.0,0.5,15.0,540.0,17.0,1.0,3.0,8.0,179.0
Double Jalapeño Cheese,Sliders,320.0,170.0,19.0,9.0,1.0,40.0,930.0,25.0,2.0,3.0,15.0,317.0
Double Jalapeño Cheese (NY/ NJ),Sliders,320.0,160.0,18.0,8.0,1.0,35.0,1000.0,27.0,2.0,6.0,15.0,319.0
Bacon Cheese,Sliders,220.0,120.0,14.0,6.0,0.5,25.0,650.0,15.0,1.0,2.0,11.0,217.0
Bacon Cheese (NY/ NJ),Sliders,230.0,120.0,14.0,6.0,0.5,25.0,700.0,17.0,1.0,3.0,11.0,228.0
Bacon Jalapeño Cheese,Sliders,230.0,130.0,15.0,6.0,0.0,30.0,690.0,16.0,1.0,2.0,11.0,227.0
Bacon Jalapeño Cheese (NY/ NJ),Sliders,230.0,130.0,14.0,6.0,0.5,30.0,720.0,17.0,1.0,3.0,11.0,228.0
Bacon Smoked Cheddar Cheese,Sliders,230.0,130.0,15.0,6.0,0.0,30.0,690.0,16.0,1.0,2.0,11.0,227.0
Bacon Smoked Cheddar Cheese (NY/NJ),Sliders,240.0,130.0,15.0,6.0,0.0,30.0,730.0,18.0,1.0,3.0,11.0,238.0
Sloppy Joe w/Smoked Cheddar Cheese,Sliders,190.0,80.0,9.0,4.0,0.0,30.0,640.0,19.0,2.0,6.0,10.0,190.0
